"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"BotCensor: Detecting DGA-Based Botnet Using Two-Stage Anomaly Detection","B. Qi; J. Jiang; Z. Shi; R. Mao; Q. Wang","Institute of Information Engineering Chinese Academy of Sciences, Beijing, Beijing, CN; Institute of Information Engineering Chinese Academy of Sciences, Beijing, Beijing, CN; Institute of Information Engineering Chinese Academy of Sciences, Beijing, Beijing, CN; Institute of Information Engineering Chinese Academy of Sciences, Beijing, Beijing, CN; Institute of Information Engineering Chinese Academy of Sciences, Beijing, Beijing, CN","2018 17th IEEE International Conference On Trust, Security And Privacy In Computing And Communications/ 12th IEEE International Conference On Big Data Science And Engineering (TrustCom/BigDataSE)","6 Sep 2018","2018","","","754","762","Nowadays, most botnets utilize domain generation algorithms (DGAs) to build resilient and agile command and control (C&C) channels. Specifically, botmasters employ DGAs to dynamically produce a large number of random domains and only register a small subset for their actual C&C servers with the purpose to defend them from takeovers and blacklisting attempts. While many approaches and models have been developed to detect DGA-based botnets, they suffer from several limitations, such as difficulties of DNS traffic collection, low feasibility and scalability, and so forth. In this paper, we present BotCensor, a new system that can determine if a host is infected with certain DGA malware with two-stage anomaly detection. In the first stage, we preliminarily attempt to identify malicious domains using a Markov model, and in the second stage, we re-examine the hosts that requested aforementioned malicious domains using novelty detection algorithms. Our experimental results show that our approach performs very well on identifying previously unknown DGA-generated domains and detects DGA bots with high efficiency and efficacy. Our approach not only can be regarded as security forensics tools, but also can be used to prevent malware infections and spread.","2324-9013","978-1-5386-4388-4","10.1109/TrustCom/BigDataSE.2018.00109","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8455977","DGA-based botnet detection, Two-stage anomaly detection, Markov model, Novelty detection algorithms, DNS traffic","Botnet;Anomaly detection;Servers;Markov processes;IP networks;Malware;Security","computer network security;Internet;invasive software;IP networks","BotCensor;two-stage anomaly detection;domain generation algorithms;DGA-based botnets;DNS traffic collection;DGA malware;malicious domains;novelty detection algorithms;DGA bots;DGA-generated domains","","3","2","","IEEE","6 Sep 2018","","","IEEE","IEEE Conferences"
"RTA: an Efficient SIMD Architecture for Ray Tracing","R. Yan; L. Huang; H. Guo; Y. Lü; L. Yang; N. Xiao; L. Shen; Y. Wang","School of Computer, National University of Defense Technology, Changsha, China; School of Computer, National University of Defense Technology, Changsha, China; School of Computer, National University of Defense Technology, Changsha, China; Huawei 2012 Labs, Beijing, China; School of Computer, National University of Defense Technology, Changsha, China; School of Computer, National University of Defense Technology, Changsha, China; School of Computer, National University of Defense Technology, Changsha, China; School of Computer, National University of Defense Technology, Changsha, China","2022 IEEE 24th Int Conf on High Performance Computing & Communications; 8th Int Conf on Data Science & Systems; 20th Int Conf on Smart City; 8th Int Conf on Dependability in Sensor, Cloud & Big Data Systems & Application (HPCC/DSS/SmartCity/DependSys)","28 Mar 2023","2022","","","43","50","In recent years, real-time ray tracing has attracted considerable attention with the increasing demand for photo-realistic graphics and rapid advances in CPUs/GPUs. However, efficient hardware architecture is challenging due to branches and high computation intensity for ray tracing. In this paper, we present a novel ray tracing hardware architecture called RTA (Ray Tracing Accelerator) to improve hardware efficiency. RTA has two key features: 1) an area-efficient T&I pipeline adopts three optimization strategies; 2) the configuration of two Ray Traversal units has the highest ray tracing efficiency. Combined with these, we implement our system at RTL level with agile chip development. Experimental results demonstrate that RTA's performance achieves $2.83\times$ higher than other academic and commercial architectures in a similar area.","","979-8-3503-1993-4","10.1109/HPCC-DSS-SmartCity-DependSys57074.2022.00040","NSFC(grant numbers:61872374); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10074637","computer graphics;hardware architecture;ren-dering;ray tracing","Graphics;High performance computing;Computational modeling;Pipelines;Computer architecture;Ray tracing;Real-time systems","graphics processing units;parallel processing;ray tracing","photo-realistic graphics;ray tracing accelerator;ray traversal units;realtime ray tracing;SIMD architecture","","","","33","IEEE","28 Mar 2023","","","IEEE","IEEE Conferences"
"A Framework for Partitioning Support Vector Machine Models on Edge Architectures","M. Sahi; M. A. Maruf; A. Azim; N. Auluck","Department of Computer Science and Engineering, Indian Institute of Technology, Ropar, India; Department of Electrical, Computer and Software Engineering, Ontario Tech University, Ontario, Canada; Department of Electrical, Computer and Software Engineering, Ontario Tech University, Ontario, Canada; Department of Computer Science and Engineering, Indian Institute of Technology, Ropar, India","2021 IEEE International Conference on Smart Computing (SMARTCOMP)","8 Oct 2021","2021","","","293","298","Current IoT applications generate huge volumes of complex data that requires agile analysis in order to obtain deep insights, often by applying Machine Learning (ML) techniques. Support vector machine (SVM) is one such ML technique that has been used in object detection, image classification, text categorization and Pattern Recognition. However, training even a simple SVM model on big data takes a significant amount of computational time. Due to this, the model is unable to react and adapt in real-time. There is an urgent need to speedup the training process. Since organizations typically use the cloud for this data processing, accelerating the training process has the advantage of bringing down costs. In this paper, we propose a model partitioning approach that partitions the tasks of Stochastic Gradient Descent based Support Vector Machines (SGD-SVM) on various edge devices for concurrent computation, thus reducing the training time significantly. The proposed partitioning mechanism not only brings down the training time but also maintains the approximate accuracy over the centralized cloud approach. With a goal of developing a smart objection detection system, we conduct experiments to evaluate the performance of the proposed method using SGD-SVM on an edge based architecture. The results illustrate that the proposed approach significantly reduces the training time by 47%, while decreasing the accuracy by 2%, and offering an optimal number of partitions.","2693-8340","978-1-6654-1252-0","10.1109/SMARTCOMP52413.2021.00062","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9556256","partitioning;edge computing;SGD-SVM","Training;Support vector machines;Performance evaluation;Adaptation models;Computational modeling;Image edge detection;Text categorization","Big Data;gradient methods;image classification;Internet of Things;learning (artificial intelligence);object detection;support vector machines","partitioning Support Vector Machine models;edge architectures;current IoT applications;complex data;agile analysis;deep insights;ML technique;object detection;image classification;text categorization;simple SVM model;big data;computational time;training process;data processing;model partitioning approach;Support Vector Machines;edge devices;training time;partitioning mechanism;centralized cloud approach;smart objection detection system;SGD-SVM;edge based architecture","","","","15","IEEE","8 Oct 2021","","","IEEE","IEEE Conferences"
"The Design of a Compact, Wide Bandwidth, Non-Foster-Based Substrate Integrated Waveguide Filter","T. Shi; M. -C. Tang; R. W. Ziolkowski","College of Communication Engineering, Chongqing University, Chongqing, China; College of Communication Engineering, Chongqing University, Chongqing, China; Global Big Data Technologies Centre, University of Technology Sydney, Ultimo, NSW, Australia","2018 IEEE Asia-Pacific Conference on Antennas and Propagation (APCAP)","18 Nov 2018","2018","","","54","56","A compact, wideband, half-mode substrate integrated waveguide (HM-SIW) filter with internal non-Foster element is demonstrated. First, its passive version is simulated and measured. Next, by integrating an ideal tunable capacitor at the end of the central stub of the HM-SIW resonator, the frequency-agile characteristic of the tunable HM-SIW filter is investigated. Finally, a negative impedance converter (NIC) is developed to replace this tunable capacitor to design a new nonFoster filter. The non-Foster-based HM-SIW filter was realized. Its measured results indicate that it has an operational fractional bandwidth of 10.8% and an electrical size 0.118×0.292 λg2, which is a 3.93 times bandwidth increase and a ~12% electrical size reduction compared to its passive, fixed capacitance version.","2381-5523","978-1-5386-5648-8","10.1109/APCAP.2018.8538271","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8538271","Half-mode substrate integrated waveguide filter;negative impedance converter;non-Foster element;wide bandwidth","Resonator filters;Bandwidth;Microwave filters;Resonant frequency;Band-pass filters;Filtering theory;Capacitors","capacitors;impedance matching;negative impedance convertors;substrate integrated waveguides;waveguide filters","half-mode substrate integrated waveguide filter;ideal tunable capacitor;HM-SIW resonator;frequency-agile characteristic;tunable HM-SIW filter;operational fractional bandwidth;non-Foster-based HM-SIW filter;internal non-Foster element;non-Foster-based substrate integrated waveguide filter;negative impedance converter","","2","","9","IEEE","18 Nov 2018","","","IEEE","IEEE Conferences"
"Research and Practice of Container System","H. Jin","National Engineering Research Center for Big Data Technology and System Services Computing Technology and System Lab, Cluster and Grid Computing Lab, School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China","2021 International Symposium on Theoretical Aspects of Software Engineering (TASE)","30 Sep 2021","2021","","","13","14","Container technology has been widely used in various real-world situations, like cloud platforms, CI/CD, and DevOps. By enabling a layered image system and OS-level virtualization, container technology can provide agile deployment and isolate execution environment for applications. However, existing container systems fail to support containers efficiently and securely. On the one hand, coarse-grained image management makes the deployment and update of applications time-consuming when the corresponding images need to be delivered in network. On the other hand, shared OS kernel may arise resource contention and security issues. This talk shows our research and practice of container systems. Specifically, I will introduce approaches of image management for fast container deployment, OS kernel isolation for secure and high-performance container execution environment, and container live migration for mitigating resource contention.","","978-1-6654-4163-6","10.1109/TASE52547.2021.00013","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9546738","","Cloud computing;Containers;Security;Kernel;Virtualization;Software engineering","cloud computing;operating system kernels;operating systems (computers);security of data;virtual machines;virtualisation","container system;container technology;cloud platforms;layered image system;OS-level virtualization;agile deployment;existing container systems;coarse-grained image management;applications time-consuming;corresponding images;shared OS kernel;resource contention;fast container deployment;OS kernel isolation;high-performance container execution environment","","","","11","IEEE","30 Sep 2021","","","IEEE","IEEE Conferences"
"Determining Viability of Deep Learning on Cybersecurity Log Analytics","C. Lorenzen; R. Agrawal; J. King","Information Technology Laboratory, U.S. Army Engineer Research and Development Center, Vicksburg, MS; Information Technology Laboratory, U.S. Army Engineer Research and Development Center, Vicksburg, MS; Information Technology Laboratory, U.S. Army Engineer Research and Development Center, Vicksburg, MS","2018 IEEE International Conference on Big Data (Big Data)","24 Jan 2019","2018","","","4806","4811","The Department of Defense currently maintains a network known as the Defense Research Engineering Network (DREN), which provides various Department of Defense (DoD) sites across the nation connectivity to HPC resource centers. To ensure the security of the DREN system, a defense system known as the Cybersecurity Environment for Detection, Analysis, and Reporting (CEDAR) was created. CEDAR contains a variety of cybersecurity sensors, which constantly monitor and record real time network activity on the DREN. Over time, CEDAR has accumulated massive quantities of valuable cybersecurity data, which necessitates a form of automation in the process of reviewing this data. We propose the application of deep learning techniques to CEDAR data in an attempt to automatically detect potentially malicious activity in a more agile and adaptable manner. These deep learning techniques can be carried out in a high performance computing (HPC) environment, allowing for the rapid utilization of large amounts of data. Our most effective model is able to classify CEDAR alerts as malicious with an accuracy sufficient to greatly reduce human analyst workloads.","","978-1-5386-5035-6","10.1109/BigData.2018.8622165","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8622165","Deep Learning;Cybersecurity;High Performance Computing","Computer security;Encoding;Deep learning;Graphics processing units;Feature extraction;Training","computer network security;data analysis;learning (artificial intelligence);military computing;neural nets;parallel processing;pattern classification;system monitoring","cybersecurity log analytics;Defense Research Engineering Network;nation connectivity;HPC resource centers;defense system;cybersecurity sensors;deep learning techniques;CEDAR data;high performance computing environment;cybersecurity data;Department of Defense;DREN system security;Cybersecurity Environment for Detection Analysis and Reporting;real time network activity monitoring;potentially malicious activity detection;HPC environment;CEDAR alert classification","","5","","18","IEEE","24 Jan 2019","","","IEEE","IEEE Conferences"
"Investment in Research & Development or Size Expansion? The Case of Internet of Things Companies","H. S. LEE; B. K. SIA; S. C. CHONG; C. W. LOW","Faculty of Accountancy and Management, Universiti Tunku Abdul Rahman, Kajang, Malaysia; Faculty of Accountancy and Management, Universiti Tunku Abdul Rahman, Kajang, Malaysia; Faculty of Accountancy, Management and Economics New Era University College, Kajang, Malaysia; Faculty of Accountancy and Management, Universiti Tunku Abdul Rahman, Kajang, Malaysia","2020 IEEE 8th Conference on Systems, Process and Control (ICSPC)","7 Jan 2021","2020","","","69","73","The Internet of Things (IoT) is at the height of its hype cycle and one can argue that the IoT construct will subsume housing, infrastructures, industrial plants, and other systems in the near future. Big data that is associated with IoT could control systems, affect automation and the process industries require R&D support to shape the concept into a functional asset that resolves the problems of users. Hence, investment in research and development (R&D) as an integral part of any IoT project could be the first step towards project success. The objective of this study is to examine the effects of an investment in R&D and size expansion on the firm value of the top Internet of Things companies. This study examines the top 20 Internet of Things companies in the world spanning the period from 2012 to 2019. By using the panel regression random effect model, this study yields two main conclusions. First, the expansion of size by the companies has a significant impact on promoting the firm value. Second, investment in R&D is negatively associated with the firm value of the IoT companies at the initial stage but the lag effect of investment in R&D is associated positively with the firm value. The significant size expansion impact on the firm value in the IoT firms suggests that the agile size could lead to more efficient use of resources and easy identification of growth opportunities. The second conclusion demonstrates the need for a budget allocation for the investment in R&D for the technological progression and scientific advancement in the IoT companies. Although it takes a few years to observe the significant impacts of investment in R&D on IoT firms, in the long term, it could improve the performance of IoT companies in driving the proliferation of connected devices to enhance human productivity and efficiency.","","978-1-7281-8861-4","10.1109/ICSPC50992.2020.9305758","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9305758","Research and development;internet of things;size expansion;return on invested capital","Research and development;Companies;Investment;Internet of Things;Technological innovation;Process control;Industries","Internet of Things;investment;productivity;project management;regression analysis;research and development","investment;Internet of Things companies;IoT project;panel regression random effect model;agile size;human productivity;research-and-development;budget allocation;Big Data","","","","14","IEEE","7 Jan 2021","","","IEEE","IEEE Conferences"
"An Adaptive Multi-objective Memetic Algorithm: a Case of Observation Scheduling for Active-imaging AEOS","S. Lu; Z. Chang; Z. Zhou; F. Yao","Technology Department, Zhongke Tianzhi operation control (Shenzhen) Technology Co., Ltd, Shenzhen, China; School of Business Administration, Hunan University, Changsha, China; School of Business Administration, Hunan University, Changsha, China; School of System Engineering, National University of Defense Technology, Changsha, China","2021 7th International Conference on Big Data and Information Analytics (BigDIA)","6 Dec 2021","2021","","","285","294","Observation scheduling problem for agile earth observation satellites (OSPFAS) plays a critical role in management of agile earth observation satellites (AEOSs). Active imaging enriches the extension of OSPFAS, we call the novel problem as observation scheduling problem for AEOS with variable image duration (OSWVID). A cumulative image quality and a detailed energy consumption is proposed to build OSWVID as a bi-objective optimization model. A multi-objective memetic algorithm, $\text{ALNS}+\text{NSGA}-\text{II}$, is designed to solve OSWVID. Considering the heuristic knowledges summarized in our previous research, several operators are designed for improving it. Based on existing instances, we analyze the critical parameters optimization, operators evolution, and efficiency of the algorithm according to extensive simulation experiments.","","978-1-6654-2466-0","10.1109/BigDIA53151.2021.9619648","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9619648","Scheduling;Active imaging;Cumulative image quality;Multi-objective optimization;Memetic algorithm","Image quality;Earth;Memetics;Adaptation models;Energy consumption;Schedules;Satellites","artificial satellites;image processing;imaging;optimisation;scheduling","adaptive multiobjective memetic algorithm;active-imaging AEOS;observation scheduling problem;agile earth observation satellites;OSPFAS;variable image duration;OSWVID;cumulative image quality;bi-objective optimization model;operators evolution;energy consumption","","2","","26","IEEE","6 Dec 2021","","","IEEE","IEEE Conferences"
"Science Autonomy and Planetary Missions: ML and Data Science Applied to the ExoMars Mission","V. Da Poian; E. Lyness; R. Danell; B. Theiling; W. Brinckerhoff","NASA Goddard Space Flight Center, Microtel LLC, Greenbelt, MD; NASA Goddard Space Flight Center, Microtel LLC, Greenbelt, MD; Danell Consulting, Winterville, NC; NASA Goddard Space Flight Center, Greenbelt, MD; NASA Goddard Space Flight Center, Microtel LLC, Greenbelt, MD","2023 IEEE Aerospace Conference","15 May 2023","2023","","","1","7","Future planetary science instruments will be capable of producing far more data than can be transmitted back to Earth, potentially leaving valuable scientific data on a planet's surface. Instruments will need to carefully identify the subset of total data to be prioritized for return, as transmission of the full data volume, even after compression, will not be feasible. The concept of science autonomy, where instruments collect measurement data, perform selected science data analyses onboard, and then autonomously act upon those analyses through self-adjustment and tuning of instrument parameters, can be used to identify and produce an optimal and compact data set for return, maximizing the value of each bit returned to Earth. Furthermore, the selection of the next operation(s) to be run following preliminary measurements, without requiring ground-in-the-loop communication, increases mission efficiency and enables successful yet shorter duration missions to hazardous planetary environments. This capability allows missions to prioritize the most compelling or time-critical data, yielding a more efficient and productive scientific investigation overall. In this paper, we present our implementation using different machine learning (ML) techniques (i.e., clustering, classification) for analyzing science data from the Mars Organic Molecule Analyzer (MOMA) instrument onboard the ExoMars rover Rosalind Franklin. MOMA is a dual-source (laser desorption and gas chromatography) mass spectrometer that will search for past or present life on the Martian surface and subsurface through analysis of soil samples. We use data collected from the MOMA flight-like engineering model to develop mass-spectrometry-focused ML techniques. This effort, in preparation for operating on Mars, is aimed at 1) helping the ExoMars science and operations team quickly analyze new data and support them in their decision-making process regarding subsequent operations and, 2) getting a better understanding of the challenges to enable science autonomy in future missions. We also present two significant challenges we faced in this development that are particular to space missions and will be common to most, if not all, robotic planetary missions. First, the lack of sufficient data volume from these unique and highly optimized instruments to train neural networks, and second the lack of sufficient results from the system to fully trust its output. To tackle the first challenge, we analyze the performance of ML algorithms after adding augmented data. We discuss adopting transfer learning techniques to fine-tune a NN trained on large amounts of commercial instrument data so that it can operate on our limited MOMA dataset. For the ‘trust’ challenge—as it is not always clear what we are looking for in planetary science—we must consider agile ML applications and demonstrate that these will not filter out potentially critical data. We will discuss our concept of a Trust Readiness Level for science autonomy akin to the NASA Technology Readiness Level. This initial project for advanced autonomy illustrates some key first steps of a longer-term objective to enable the spacecraft and instruments themselves to make real-time adjustments during operations as direct human oversight will not be possible for missions going further away in our solar system and beyond.","1095-323X","978-1-6654-9032-0","10.1109/AERO55745.2023.10115830","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10115830","","Earth;Space vehicles;Mars;Instruments;Space missions;Transfer learning;Surface emitting lasers","","","","","","5","IEEE","15 May 2023","","","IEEE","IEEE Conferences"
"HCOBASAA: Countermeasure Against Sinkhole Attacks in Software-Defined Wireless Sensor Cognitive Radio Networks","L. Sejaphala; M. Velempini; S. V. Dlamini","Department of Computer Science, University of Limpopo, Limpopo, South Africa; Department of Computer Science, University of Limpopo, Limpopo, South Africa; Mareka Institute, Council for Scientific & Industrial Research, CSIR, Pretoria, South Africa","2018 International Conference on Advances in Big Data, Computing and Data Communication Systems (icABCD)","16 Sep 2018","2018","","","1","5","Software-defined wireless sensor cognitive radio network is one of the emerging technologies which is simple, agile, and flexible. The sensor network comprises of a sink node with high processing power. The sensed data is transferred to the sink node in a hop-by-hop basis by sensor nodes. The network is programmable, automated, agile, and flexible. The sensor nodes are equipped with cognitive radios, which sense available spectrum bands and transmit sensed data on available bands, which improves spectrum utilization. Unfortunately, the Software-defined wireless sensor cognitive radio network is prone to security issues. The sinkhole attack is the most common attack which can also be used to launch other attacks. We propose and evaluate the performance of Hop Count-Based Sinkhole Attack detection Algorithm (HCOBASAA) using probability of detection, probability of false negative, and probability of false positive as the performance metrics. On average HCOBASAA managed to yield 100%, 75%, and 70% probability of detection.","","978-1-5386-3060-0","10.1109/ICABCD.2018.8465449","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8465449","sinkhole attack;software-defined wireless sensor cognitive radio network;change in position","Wireless sensor networks;Base stations;Cognitive radio;Databases;Communication system security;Detection algorithms","cognitive radio;telecommunication security;wireless sensor networks","HCOBASAA;probability of detection;probability of false negative;probability of false positive;performance metrics;Hop Count-Based Sinkhole Attack detection Algorithm;sensor nodes;sink node;Software-defined wireless sensor cognitive radio network","","3","","13","IEEE","16 Sep 2018","","","IEEE","IEEE Conferences"
"Prevalence of GitOps, DevOps in Fast CI/CD Cycles","S. Gupta; M. Bhatia; M. Memoria; P. Manani","Computer Science & Engineering, Amity School of Engineering & Technology, Amity University, Noida, India; Computer Science & Engineering, Amity School of Engineering & Technology, Amity University, Noida, India; Department of Computer Science & Engineering, Uttaranchal University, Dehradun, Uttarakhand, India; Department of Computer Science & Engineering, Uttaranchal University, Dehradun, Uttarakhand, India","2022 International Conference on Machine Learning, Big Data, Cloud and Parallel Computing (COM-IT-CON)","15 Aug 2022","2022","1","","589","596","Today, when we are surrounded by technology, software and applications are making our lives more efficient and easy because of the operations and processes controlled by them. Since the technology is constantly changing at a very high pace, improving and modifying with each development, there is a constant need of is faster and more frequent delivery of the software and applications. Today, most software and applications are built in such a way that they could run across multiple operating environments. Software development is performed using agile principles and the most critical part of it is Continuous Delivery and Continuous Integration (CI/CD). CI/CD aims at automating the process of testing, building, and deploying the commitments made by the developer to the code repository. The use of Container-based applications solves a number of complex problems that are found on CI/CD such as portability, elasticity, visibility, and version control. This modular approach enables a simpler, faster, more secure, and more efficient way of development by more focused teams responsible for specific containers. In this context, a new point of interest in the development process, GitOps, which is more agile, reliable, fast, and efficient in its approach towards better performance levels with cloud-native. The main objective of this paper is to understand the Kubernetes GitOps process by day 2 operations, to access the benefits of implementing GitOps in the Kubernetes environment, and to implement Kubernetes GitOps on AWS.","","978-1-6654-9602-5","10.1109/COM-IT-CON54601.2022.9850786","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9850786","GitOps;DevOps;CI/CD;Continuous Delivery;Continuous Integration;AWS","Productivity;Codes;Process control;Machine learning;Syntactics;Parallel processing;Elasticity","cloud computing;configuration management;process control;software development management;software engineering;software prototyping","Continuous Delivery;Continuous Integration;Container-based applications;version control;Kubernetes GitOps process;day 2 operations;high pace;frequent delivery;multiple operating environments;software development","","","","17","IEEE","15 Aug 2022","","","IEEE","IEEE Conferences"
"Towards privacy-aware software design in small and medium enterprises","L. Campanile; M. Iacono; M. Mastroianni","Dipartimento di Matematica e Fisica, Università Degli Studi Della Campania Luigi Vanvitelli, Caserta, Italy; Dipartimento di Matematica e Fisica, Università Degli Studi Della Campania Luigi Vanvitelli, Caserta, Italy; Dipartimento di Informatica, Università Degli Studi di Salerno, Fisciano (SA), Italy","2022 IEEE Intl Conf on Dependable, Autonomic and Secure Computing, Intl Conf on Pervasive Intelligence and Computing, Intl Conf on Cloud and Big Data Computing, Intl Conf on Cyber Science and Technology Congress (DASC/PiCom/CBDCom/CyberSciTech)","13 Dec 2022","2022","","","1","8","The legal definition of privacy regulations, like GDPR in the European Union, significantly impacted on the way in which software, systems and organizations should be designed or maintained to be compliant to rules. While the privacy community stated proper risk assessment and mitigation approaches to be applied, literature seems to suggest that the software engineering community, with special reference to companies, did actually concentrate on the specification phase, with less attention for the test phase of products. In coherence with the privacy-by-design approach, we believe that a bigger methodological effort must be put in the systematic adaptation of software development cycles to privacy regulations, and that this effort might be promoted in the industrial community by focusing on the relation between organizational costs vs technical features, also leveraging the benefits of targeted testing as a mean to lower operational privacy enforcement costs.","","978-1-6654-6297-6","10.1109/DASC/PiCom/CBDCom/Cy55231.2022.9927958","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9927958","Software design;Privacy;GDPR;Risk analysis;Software development life cycle (SDLC);Agile methodology;Nonfunctional requirements;Privacy-by-design","Training;Privacy;Costs;Systematics;Unified modeling language;Solids;Software systems","data protection;law;risk management;small-to-medium enterprises;software engineering","European Union;GDPR;privacy regulations;privacy-aware software design;privacy-by-design approach;risk assessment;small and medium enterprises;software development cycles;software engineering;specification phase","","","","19","IEEE","13 Dec 2022","","","IEEE","IEEE Conferences"
"The Making of Continuous Colormaps","P. Nardini; M. Chen; F. Samsel; R. Bujack; M. Böttinger; G. Scheuermann","Institute of Computer Science, University of Leipzig, Leipzig, Germany; Department of Engineering Science, University of Oxford, Oxford, United Kingdom; Center for Agile Technology, University of Texas at Austin, Austin, TX, USA; Data Science at Scale Team, Los Alamos National Laboratory, Los Alamos, NM, USA; German Climate Computing Center (DKRZ), Hamburg, Germany; Institute of Computer Science, University of Leipzig, Leipzig, Germany","IEEE Transactions on Visualization and Computer Graphics","12 May 2021","2021","27","6","3048","3063","Continuous colormaps are integral parts of many visualization techniques, such as heat-maps, surface plots, and flow visualization. Despite that the critiques of rainbow colormaps have been around and well-acknowledged for three decades, rainbow colormaps are still widely used today. One reason behind the resilience of rainbow colormaps is the lack of tools for users to create a continuous colormap that encodes semantics specific to the application concerned. In this paper, we present a web-based software system, CCC-Tool (short for Charting Continuous Colormaps) under the URL https://ccctool.com, for creating, editing, and analyzing such application-specific colormaps. We introduce the notion of “colormap specification (CMS)” that maintains the essential semantics required for defining a color mapping scheme. We provide users with a set of advanced utilities for constructing CMS's with various levels of complexity, examining their quality attributes using different plots, and exporting them to external application software. We present two case studies, demonstrating that the CCC-Tool can help domain scientists as well as visualization experts in designing semantically-rich colormaps.","1941-0506","","10.1109/TVCG.2019.2961674","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8939459","CCC-Tool;charting continuous colormaps;colormap specification;perceptual uniformity;colormap analysis","Image color analysis;Data visualization;Tools;Semantics;Guidelines;Standards;Software systems","data visualisation;formal specification","rainbow colormaps;colormap specification;charting continuous colormaps;semantically rich colormaps;visualization techniques;application specific colormaps;Web based software system;CCC tool","","13","","91","IEEE","23 Dec 2019","","","IEEE","IEEE Journals"
"How to Efficiently Predict Dengue Incidence in Kuala Lumpur","D. N. Pham; T. Aziz; A. Kohan; S. Nellis; J. b. A. Jamil; J. J. Khoo; D. Lukose; S. AbuBakar; A. Sattar; H. H. Ong","Artificial Intelligence Lab, MIMOS Berhad, Kuala Lumpur, Malaysia; Artificial Intelligence Lab, MIMOS Berhad, Kuala Lumpur, Malaysia; Artificial Intelligence Lab, MIMOS Berhad, Kuala Lumpur, Malaysia; TIDREC, University of Malaya, Kuala Lumpur, Malaysia; TIDREC, University of Malaya, Kuala Lumpur, Malaysia; TIDREC, University of Malaya, Kuala Lumpur, Malaysia; Data Science, GCS Agile Pty Ltd, Victoria, Australia; TIDREC, University of Malaya, Kuala Lumpur, Malaysia; IIIS, Griffith University, Queensland, Australia; Artificial Intelligence Lab, MIMOS Berhad, Kuala Lumpur, Malaysia","2018 Fourth International Conference on Advances in Computing, Communication & Automation (ICACCA)","29 Jul 2019","2018","","","1","6","Mosquito-borne diseases are rapidly spreading in all regions of the world with an estimation of 2.5 billion people globally are at risk. The recent surge in dengue outbreaks has caused severe affliction to Malaysian society. Hence, the ability to predict a dengue outbreak and mitigate its damage and loss proactively is very critical. In this paper, we study the possibility of applying machine learning (ML) and deep learning (DL) approaches to predict the number of confirmed dengue fever (DF) cases in Kuala Lumpur. We identified several contribution factors correlate to a dengue outbreak. In addition to the two frequently used factors (daily mean temperature and daily rainfall), we also took into account the enhanced vegetation index (EVI), humidity and wind speed as input factors to our prediction engines. We collected and cleansed data on these factors and the daily DF incidents in Kuala Lumpur from 2002 to 2012. We then used these data to train and evaluate our 3 ML/DL models. Among the three models, GA_RNN was the best performer and achieved a MAE of 10.95 for DF incidence prediction.","2642-7354","978-1-5386-7167-2","10.1109/ICACCAF.2018.8776790","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8776790","dengue outbreak prediction;machine learning;deep learning","Indexes;Predictive models;Sociology;Statistics;Diseases;Data models;Pediatrics","atmospheric temperature;diseases;environmental factors;learning (artificial intelligence);rain;regression analysis","machine learning;daily mean temperature;daily rainfall;DF incidence prediction;daily DF incidents;prediction engines;contribution factors;confirmed dengue fever cases;deep learning;dengue outbreak;recent surge;mosquito-borne diseases;Kuala Lumpur","","8","","25","IEEE","29 Jul 2019","","","IEEE","IEEE Conferences"
